State_Name,District_Name,Composite_Quartile,Composite_Score,tag_food,tag_food_nc,Irrigation_Category,Gross_Irrigated_Area_Pct
RAJASTHAN,Tonk,Q3,64.44506658270936,Medium,Medium,Highly Irrigated,58.48163173876251
TAMIL NADU,Cuddalore,Q3,70.11081162119531,Medium,Medium,Moderately Irrigated,37.95492426199287
TAMIL NADU,Dharmapuri,Q3,70.22006180550135,Medium,Medium,Sparsely Irrigated,12.78678100480905
TAMIL NADU,Dindigul,Q4,72.16959197797453,Low,Low,Sparsely Irrigated,15.92623798399142
TAMIL NADU,Erode,Q4,76.0946340075452,Medium,Medium,Sparsely Irrigated,20.57756559909413
TAMIL NADU,Kancheepuram,Q4,95.58030099942481,Low,Low,Sparsely Irrigated,23.68326890702081
TAMIL NADU,Kanniyakumari,Q3,65.26114795112451,Low,Low,Sparsely Irrigated,14.57356459330144
TAMIL NADU,Krishnagiri,Q4,80.84739474106236,Low,Low,Sparsely Irrigated,13.74031256440468
TAMIL NADU,Madurai,Q4,77.80524142775413,Low,Low,Sparsely Irrigated,16.98519134197283
TAMIL NADU,Nagapattinam,Q3,61.35831237716519,Low,Low,Moderately Irrigated,32.65877775976658
TAMIL NADU,Perambalur,Q4,74.53498803216274,Low,Low,Sparsely Irrigated,14.36106954062559
TAMIL NADU,Pudukkottai,Q4,71.580135473649,Low,Low,Moderately Irrigated,25.40309523962696
TAMIL NADU,Salem,Q3,67.26463391824201,Medium,Medium,Sparsely Irrigated,22.85132461145371
TAMIL NADU,Sivaganga,Q4,72.56014383955488,Low,Low,Sparsely Irrigated,17.6519455717355
TAMIL NADU,Thanjavur,Q4,87.31996343652443,Medium,Medium,Highly Irrigated,52.89483213948188
TAMIL NADU,Theni,Q4,72.15763326049273,Low,Low,Sparsely Irrigated,19.42479104339512
TAMIL NADU,Thiruvallur,Q4,93.31053124453989,Low,Low,Moderately Irrigated,26.46936300602649
TAMIL NADU,Thiruvarur,Q3,66.06887597876889,Low,Low,Highly Irrigated,70.17676876052053
TAMIL NADU,Tiruchirappalli,Q4,83.06245272849128,Medium,Medium,Sparsely Irrigated,14.85434269715225
TAMIL NADU,Tirunelveli,Q4,75.22392568066473,Low,Low,Sparsely Irrigated,14.48764982998199
TAMIL NADU,Tiruvannamalai,Q4,85.55927598813294,Medium,Medium,Moderately Irrigated,30.04697364564602
TAMIL NADU,Vellore,Q4,83.20401618184556,Medium,Medium,Sparsely Irrigated,9.825587645119679
TAMIL NADU,Viluppuram,Q4,84.76359733219869,High,High,Moderately Irrigated,32.87778311381773
TAMIL NADU,Virudhunagar,Q3,70.79722785489665,Low,Low,Sparsely Irrigated,13.3872073868256
TELANGANA,Adilabad,Q4,74.69895823537355,Low,Low,Sparsely Irrigated,18.16629777076078
TELANGANA,Bhadradri Kothagudem,Q4,88.69199332590928,,,Sparsely Irrigated,16.70769375499773
TELANGANA,Jagitial,Q4,84.07393223362944,Medium,Medium,Highly Irrigated,57.25037719534694
TELANGANA,Jangoan,Q4,78.40400358638783,Low,Low,Moderately Irrigated,46.60446561926909
TELANGANA,Jayashankar,Q4,81.55800391364544,Low,Low,Sparsely Irrigated,22.68640115780446
TELANGANA,Kamareddy,Q4,89.38237719045921,Medium,Medium,Moderately Irrigated,39.68323314698402
TELANGANA,Karimnagar,Q4,84.10131365149708,Medium,Medium,Highly Irrigated,59.50269583337226
TELANGANA,Khammam,Q4,89.20520711739893,Medium,Medium,Moderately Irrigated,41.65608535270923
TELANGANA,Kumuram Bheem Asifabad,Q3,64.69768649768417,Low,Low,Rainfed,5.649391710158351
TELANGANA,Mahabubabad,Q4,75.77933934931784,Low,Low,Moderately Irrigated,35.77941924200857
TELANGANA,Mancherial,Q4,80.8206341955112,Low,Low,Sparsely Irrigated,19.91125986427979
TELANGANA,Medak,Q4,71.94248180059186,Medium,Medium,Moderately Irrigated,44.72800222259907
TELANGANA,Medchal Malkajgiri,Q4,87.42874270656469,Low,Low,Sparsely Irrigated,10.36646349517861
TELANGANA,Mulugu,Q4,89.34353167970309,Low,Low,Rainfed,6.425997678605612
TELANGANA,Narayanpet,Q4,72.08627936060066,Low,Low,Moderately Irrigated,29.4434727034209
TELANGANA,Nirmal,Q4,77.57768153759515,Low,Low,Moderately Irrigated,34.76275342704383
TELANGANA,Nizamabad,Q4,81.18714828739623,Medium,Medium,Highly Irrigated,49.89715526684621
TELANGANA,Peddapalli,Q4,88.78807182959247,Low,Low,Highly Irrigated,48.67051229226755
TELANGANA,Rajanna Sircilla,Q4,87.6842298575956,,,Moderately Irrigated,45.94625946470378
TELANGANA,Sangareddy,Q3,67.41647152259155,Low,Low,Sparsely Irrigated,18.29815436807046
TELANGANA,Siddipet,Q4,77.53230041889103,Medium,Medium,Moderately Irrigated,46.47157751262703
TELANGANA,Suryapet,Q4,83.57610607832213,Medium,Medium,Highly Irrigated,67.10136949554166
TELANGANA,Vikarabad,Q3,60.95492365600319,Low,Low,Sparsely Irrigated,20.22758735256659
TELANGANA,Wanaparthy,Q3,70.69842992808573,Low,Low,Highly Irrigated,49.08615827019852
TELANGANA,Warangal Rural,Q4,75.15921167773278,,,Highly Irrigated,65.27753654450615
TELANGANA,Yadadri Bhuvanagiri,Q3,62.49415676323552,,,Moderately Irrigated,36.96004296016554
TRIPURA,Dhalai,Q3,56.27704329612853,Low,Low,Rainfed,2.679234529093767
TRIPURA,Gomati,Q3,59.85221026974297,Low,Low,Sparsely Irrigated,11.63637585245406
TRIPURA,Khowai,Q3,60.50466067081749,Low,Low,Sparsely Irrigated,10.4938070226949
TRIPURA,Sipahijala,Q4,72.23647452877385,Low,Low,Sparsely Irrigated,11.75933214768166
TRIPURA,South Tripura,Q3,68.45424582390878,Low,Low,Sparsely Irrigated,12.46845027763756
TRIPURA,Unokoti,Q3,63.7471954321647,Low,Low,Rainfed,6.724240706008927
TRIPURA,West Tripura,Q3,57.55877183974665,Low,Low,Sparsely Irrigated,12.53472852082757
UTTAR PRADESH,Agra,Q4,85.6308648440939,Medium,Medium,Highly Irrigated,54.14809425308478
UTTAR PRADESH,Aligarh,Q4,79.92101703171312,Medium,Medium,Highly Irrigated,86.26258475446888
UTTAR PRADESH,Ambedkar Nagar,Q4,78.03586719422717,Medium,Medium,Highly Irrigated,61.51021276595745
UTTAR PRADESH,Amethi,Q3,60.65556687206944,Medium,Medium,Highly Irrigated,52.93333333333333
UTTAR PRADESH,Amroha,Q3,71.15257489808458,Medium,Medium,Highly Irrigated,62.23137476334407
UTTAR PRADESH,Auraiya,Q4,80.48530793416671,Medium,Medium,Highly Irrigated,51.82589285714285
UTTAR PRADESH,Azamgarh,Q3,63.7693605174751,Medium,Medium,Highly Irrigated,65.98125308337444
UTTAR PRADESH,Baghpat,Q4,88.8523274562544,Medium,Medium,Highly Irrigated,76.49124400248225
UTTAR PRADESH,Bahraich,Q3,58.82722882939068,Medium,Medium,Highly Irrigated,67.05117433645216
UTTAR PRADESH,Ballia,Q3,70.92193905388977,Medium,Medium,Highly Irrigated,60.87588057698758
UTTAR PRADESH,Balrampur,Q3,63.21360248797959,Medium,Medium,Highly Irrigated,52.01074947745595
UTTAR PRADESH,Bareilly,Q3,67.60720523780935,High,High,Highly Irrigated,81.30510650587439
UTTAR PRADESH,Basti,Q3,64.87696678524455,Medium,Medium,Highly Irrigated,83.1811755952381
UTTAR PRADESH,Bijnor,Q3,71.49221672894384,High,High,Highly Irrigated,74.80569593194699
UTTAR PRADESH,Budaun,Q3,68.40737445711459,High,High,Highly Irrigated,68.01475542764473
UTTAR PRADESH,Bulandshahr,Q4,83.31753055634724,High,High,Highly Irrigated,77.8696838276441
UTTAR PRADESH,Chandauli,Q4,72.67881611299065,Low,Low,Highly Irrigated,48.76269185360094
UTTAR PRADESH,Deoria,Q3,56.36863005884079,Medium,Medium,Highly Irrigated,72.10708661417323
UTTAR PRADESH,Etah,Q4,81.50202532936994,Medium,Medium,Highly Irrigated,81.08158028934763
UTTAR PRADESH,Etawah,Q4,82.64539686481757,Medium,Medium,Moderately Irrigated,43.41290931281323
